#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
25.00,34.00
25.00,34.00
25.00,36.00
25.00,37.00
25.00,38.00
25.00,39.00
25.00,40.00
25.00,42.00
25.00,42.00
25.00,43.00
25.00,43.00
25.00,44.00
25.00,44.00
25.00,44.00
25.00,44.00
25.00,44.00
25.00,44.00
25.00,44.00
25.00,43.00
25.00,43.00
25.00,43.00
